skill,wiki_page
Representation of mathematical objects,Representation_(mathematics)
Representation of exact numbers,Approximate_number_system
Representation of mathematical functions,Function_(mathematics)
Representation of Boolean functions,Boolean_function
Representation of polynomials,Polynomial_representations_of_cyclic_redundancy_checks
Parallel computing methodologies,Parallel_computing
Parallel algorithms,Parallel_algorithm
MapReduce algorithms,MapReduce
Self-organization,Self-organization
Shared memory algorithms,Parallel_algorithm
Vector / streaming algorithms,Streaming_algorithm
Massively parallel algorithms,Massively_parallel_(computing)
Parallel programming languages,List_of_concurrent_and_parallel_programming_languages
Artificial intelligence,Artificial_intelligence
Natural language processing,Natural_language_processing
Information extraction,Information_extraction
Machine translation,Machine_translation
Discourse, dialogue and pragmatics,Constructed_action_and_dialogue
Natural language generation,Natural_language_generation
Speech recognition,Speech_recognition
Lexical semantics,Lexical_semantics
Phonology / morphology,Theoretical_linguistics
Language resources,International_Conference_on_Language_Resources_and_Evaluation
Knowledge representation and reasoning,Knowledge_representation_and_reasoning
Description logics,Description_logic
Semantic networks,Semantic_network
Nonmonotonic, default reasoning and belief revision,Belief_revision
Probabilistic reasoning,Probabilistic_logic
Vagueness and fuzzy logic,Vagueness
Causal reasoning and diagnostics,Causal_reasoning
Temporal reasoning,Spatial–temporal_reasoning
Cognitive robotics,Cognitive_robotics
Ontology engineering,Ontology_engineering
Logic programming and answer set programming,Answer_set_programming
Spatial and physical reasoning,Spatial–temporal_reasoning
Reasoning about belief and knowledge,Belief_revision
Planning and scheduling,Advanced_planning_and_scheduling
Planning for deterministic actions,Automated_planning_and_scheduling
Planning under uncertainty,Uncertainty
Multi-agent planning,Multi-agent_planning
Planning with abstraction and generalization,Inventor's_paradox
Robotic planning,Motion_planning
Search methodologies,Methodology
Heuristic function construction,Admissible_heuristic
Discrete space search,Discrete_space
Continuous space search,State_space
Randomized search,Random_search
Game tree search,Game_tree
Abstraction and micro-operators,Psi-theory
Search with partial observations,Observed_information
Control methods,Comparison_of_birth_control_methods
Robotic planning,Motion_planning
Computational control theory,Control_theory
Motion path planning,Motion_planning
Philosophical/theoretical foundations of artificial intelligence,Philosophy_of_artificial_intelligence
Cognitive science,Cognitive_science
Theory of mind,Theory_of_mind
Distributed artificial intelligence,Distributed_artificial_intelligence
Multi-agent systems,Multi-agent_system
Intelligent agents,Intelligent_agent
Mobile agents,Mobile_agent
Cooperation and coordination,Turkish_International_Cooperation_and_Development_Agency
Computer vision,Computer_vision
Computer vision tasks,Computer_vision
Biometrics,Biometrics
Scene understanding,Computer_vision
Activity recognition and understanding,Activity_recognition
Video summarization,Video_synopsis
Visual content-based indexing and retrieval,Content-based_image_retrieval
Visual inspection,Visual_inspection
Vision for robotics,Vision_Guided_Robotic_Systems
Scene anomaly detection,Hyperspectral_imaging
Image and video acquisition,Video_capture
Camera calibration,Camera_resectioning
Epipolar geometry,Epipolar_geometry
Computational photography,Computational_photography
Hyperspectral imaging,Hyperspectral_imaging
Motion capture,Motion_capture
3D imaging,Category:3D_imaging
Active vision,Active_vision
Computer vision representations,Feature_(computer_vision)
Image representations,Pyramid_(image_processing)
Shape representations,Shape_analysis_(digital_geometry)
Appearance and texture representations,Bidirectional_texture_function
Hierarchical representations,Hierarchy
Computer vision problems,Computer_vision
Interest point and salient region detections,Kadir–Brady_saliency_detector
Image segmentation,Image_segmentation
Video segmentation,Image_segmentation
Shape inference,Statistical_inference
Object detection,Object_detection
Object recognition,Cognitive_neuroscience_of_visual_object_recognition
Object identification,Object_identifier
Tracking,Tracking
Reconstruction,Bibliography_of_the_Reconstruction_Era
Matching,Matching
Machine learning,Machine_learning
Learning paradigms,Implicit_learning
Supervised learning,Supervised_learning
Ranking,Ranking
Learning to rank,Learning_to_rank
Supervised learning by classification,Supervised_learning
Supervised learning by regression,Supervised_learning
Structured outputs,Structured_prediction
Cost-sensitive learning,Proactive_learning
Unsupervised learning,Unsupervised_learning
Cluster analysis,Cluster_analysis
Anomaly detection,Anomaly_detection
Mixture modeling,Mixture_model
Topic modeling,Topic_model
Source separation,Blind_signal_separation
Motif discovery,Sequence_motif
Dimensionality reduction and manifold learning,Nonlinear_dimensionality_reduction
Reinforcement learning,Reinforcement_learning
Sequential decision making,Sequential_analysis
Inverse reinforcement learning,Apprenticeship_learning
Apprenticeship learning,Apprenticeship_learning
Multi-agent reinforcement learning,Multi-agent_system
Adversarial learning,Adversarial_machine_learning
Multi-task learning,Multi-task_learning
Transfer learning,Inductive_transfer
Lifelong machine learning,Robot_learning
Learning under covariate shift,Domain_adaptation
Learning settings,Learning_space
Batch learning,Online_machine_learning
Online learning settings,E-learning_(theory)
Learning from demonstrations,Demonstration_(teaching)
Learning from critiques,Learning_styles
Learning from implicit feedback,Implicit_learning
Active learning settings,Active_learning
Semi-supervised learning settings,Semi-supervised_learning
Machine learning approaches,Machine_learning
Classification and regression trees,Decision_tree_learning
Kernel methods,Kernel_method
Support vector machines,Least_squares_support_vector_machine
Gaussian processes,Gaussian_process
Neural networks,Biological_neural_network
Logical and relational learning,Statistical_relational_learning
Inductive logic learning,Inductive_logic_programming
Statistical relational learning,Statistical_relational_learning
Learning in probabilistic graphical models,Graphical_model
Maximum likelihood modeling,Maximum_likelihood_estimation
Maximum entropy modeling,Principle_of_maximum_entropy
Maximum a posteriori modeling,Maximum_a_posteriori_estimation
Mixture models,Mixture_model
Latent variable models,Latent_variable_model
Bayesian network models,Bayesian_network
Learning linear models,Linear_classifier
Perceptron algorithm,Perceptron
Factorization methods,Factorization
Non-negative matrix factorization,Non-negative_matrix_factorization
Factor analysis,Factor_analysis
Principal component analysis,Principal_component_analysis
Canonical correlation analysis,Canonical_correlation
Latent Dirichlet allocation,Latent_Dirichlet_allocation
Rule learning,Association_rule_learning
Instance-based learning,Instance-based_learning
Markov decision processes,Markov_decision_process
Partially-observable Markov decision processes,Partially_observable_Markov_decision_process
Stochastic games,Stochastic_game
Learning latent representations,Latent_variable
Deep belief networks,Deep_belief_network
Machine learning algorithms,List_of_machine_learning_concepts
Dynamic programming for Markov decision processes,Markov_decision_process
Value iteration,Markov_decision_process
Q-learning,Q-learning
Policy iteration,Markov_decision_process
Temporal difference learning,Temporal_difference_learning
Approximate dynamic programming methods,Dynamic_programming
Ensemble methods,Ensemble_learning
Boosting,Boosting_(machine_learning)
Bagging,Bootstrap_aggregating
Spectral methods,Spectral_method
Feature selection,Regularization_(mathematics)
Regularization,Regularization_(mathematics)
Cross-validation,Cross-validation_(statistics)
Modeling and simulation,Modeling_and_simulation
Model development and analysis,ADDIE_Model
Modeling methodologies,Data_modeling
Model verification and validation,Verification_and_validation_of_computer_simulation_mo
Uncertainty quantification,Uncertainty_quantification
Simulation theory,Simulated_reality
Systems theory,Category:Systems_theory
Network science,Network_science
Simulation types and techniques,Simulation
Uncertainty quantification,Uncertainty_quantification
Quantum mechanic simulation,Quantum_simulator
Molecular simulation,Molecular_modelling
Rare-event simulation,Rare_Event_Sampling
Discrete-event simulation,Discrete_event_simulation
Agent / discrete models,Agent-based_model
Distributed simulation,Distributed_Interactive_Simulation
Continuous simulation,Continuous_simulation
Continuous models,Continuous_modelling
Real-time simulation,Real-time_simulation
Interactive simulation,Distributed_Interactive_Simulation
Multiscale systems,Multiscale_modeling
Massively parallel and high-performance simulations,Supercomputer
Data assimilation,Data_assimilation
Scientific visualization,Scientific_visualization
Visual analytics,Visual_analytics
Simulation by animation,Computer_simulation
Simulation support systems,Modeling_and_simulation
Simulation environments,Computer_simulation
Simulation languages,Simulation_language
Simulation tools,List_of_computer_simulation_software
Simulation evaluation,Simulation
Computer graphics,Computer_graphics_(computer_science)
Animation,Animation
Motion capture,Motion_capture
Procedural animation,Procedural_animation
Physical simulation,Simulation
Motion processing,Motion_perception
Collision detection,Collision_detection
Rendering,Rendering_(computer_graphics)
Rasterization,Rasterisation
Ray tracing,Ray_tracing_(graphics)
Non-photorealistic rendering,Non-photorealistic_rendering
Reflectance modeling,Phong_reflection_model
Visibility,Visibility
Image manipulation,Photo_manipulation
Computational photography,Computational_photography
Image processing,Image_processing
Texturing,Texture_mapping
Image-based rendering,Image-based_modeling_and_rendering
Antialiasing,Spatial_anti-aliasing
Graphics systems and interfaces,Graphical_user_interface
Graphics processors,Graphics_processing_unit
Graphics input devices,Input_device
Mixed / augmented reality,Mixed_reality
Perception,Perception
Graphics file formats,Image_file_formats
Virtual reality,Virtual_reality
Image compression,Image_compression
Shape modeling,Active_shape_model
Mesh models,Polygon_mesh
Mesh geometry models,Polygon_mesh
Parametric curve and surface models,Parametric_equation
Point-based models,Agent-based_model
Volumetric models,3D_modeling
Shape analysis,Shape_analysis
Distributed computing methodologies,Distributed_computing
Distributed algorithms,Distributed_algorithm
MapReduce algorithms,MapReduce
Self-organization,Self-organization
Distributed programming languages,List_of_concurrent_and_parallel_programming_languages
Concurrent computing methodologies,Parallel_computing
Concurrent programming languages,List_of_concurrent_and_parallel_programming_languages
Concurrent algorithms,Concurrent_algorithm
Applied computing,Symposium_on_Applied_Computing
Electronic commerce,B2B_e-commerce
Digital cash,Electronic_money
E-commerce infrastructure,Center_for_E-Commerce_Infrastructure_Development
Electronic data interchange,Electronic_data_interchange
Electronic funds transfer,Electronic_funds_transfer
Online shopping,Online_shopping
Online banking,Online_banking
Secure online transactions,3-D_Secure
Online auctions,Online_auction
Enterprise computing,Enterprise_software
Enterprise information systems,Enterprise_information_system
Intranets,Intranets
Extranets,Extranets
Enterprise resource planning,Enterprise_resource_planning
Enterprise applications,Enterprise_software
Data centers,Data_center
Business process management,Business_process_management
Business process modeling,Business_process_modeling
Business process management systems,Business_process_management
Business process monitoring,Business_activity_monitoring
Cross-organizational business processes,Business_process
Business intelligence,Business_intelligence
Enterprise architectures,Enterprise_architecture
Enterprise architecture management,Enterprise_architecture_management
Enterprise architecture frameworks,Enterprise_architecture_framework
Enterprise architecture modeling,Enterprise_architecture
Service-oriented architectures,Service-oriented_architecture
Event-driven architectures,Event-driven_architecture
Business rules,Business_rule
Enterprise modeling,Enterprise_modelling
Enterprise ontologies taxonomies and vocabularies,Ontology_(information_science)
Enterprise data management,Enterprise_data_management
Reference models,Reference_model
Business-IT alignment,Business-IT_alignment
IT architectures,Information_technology_architecture
IT governance,Corporate_governance_of_information_technology
Enterprise computing infrastructures,Cloud_computing
Enterprise interoperability,Enterprise_interoperability
Enterprise application integration,Enterprise_application_integration
Information integration and interoperability,Governance_Interoperability_Framework
Physical sciences and engineering,Engineering_and_Physical_Sciences
Aerospace,Aerospace
Avionics,Avionics
Archaeology,Archaeology
Astronomy,Astronomy
Chemistry,Chemistry
Earth and atmospheric sciences,Atmospheric_sciences
Environmental sciences,Environmental_science
Engineering,Mechanical_engineering
Computer-aided design,Computer-aided_design
Physics,Physics
Mathematics and statistics,Mathematical_statistics
Electronics,Electronics
Avionics,Avionics
Telecommunications,Telecommunications
Internet telephony,Internet_telephony_service_provider
Life and medical sciences,List_of_life_sciences
Computational biology,Computational_biology
Molecular sequence analysis,Sequence_analysis
Recognition of genes and regulatory elements,B_recognition_element
Molecular evolution,Molecular_evolution
Computational transcriptomics,Transcriptome
Biological networks,Biological_network
Sequencing and genotyping technologies,SNP_genotyping
Imaging,Imaging
Computational proteomics,Proteomics
Molecular structural biology,Structural_biology
Computational genomics,Computational_genomics
Genomics,Genomics
Computational genomics,Computational_genomics
Systems biology,Systems_biology
Consumer health,Consumer_health_informatics
Health care information systems,Hospital_information_system
Health informatics,Health_informatics
Bioinformatics,Bioinformatics
Metabolomics / metabonomics,Metabolomics
Genetics,Genetics
Population genetics,Population_genetics
Proteomics,Proteomics
Computational proteomics,Proteomics
Transcriptomics,Transcriptome
Law social and behavioral sciences,ACM_Computing_Classification_System
Anthropology,Anthropology
Ethnography,Ethnography
Law,Law
Psychology,Psychology
Economics,Economics
Sociology,Sociology
Computer forensics,Computer_forensics
Surveillance mechanisms,MRNA_surveillance
Investigation techniques,Criminal_investigation
Evidence collection storage and analysis,Evidence_management
Network forensics,Network_forensics
System forensics,Computer_forensics
Data recovery,Data_recovery
Arts and humanities,Arts_and_Humanities_Citation_Index
Fine arts,Fine_art
Performing arts,Performing_arts
Architecture,Architecture
Computer-aided design,Computer-aided_design
Language translation,Translation
Media arts,New_media_art
Sound and music computing,Sound_and_music_computing
Computers in other domains,Windows_domain
Digital libraries and archives,Digital_library
Publishing,Publishing
Military,Military
Cyberwarfare,Cyberwarfare
Cartography,Cartography
Agriculture,Agriculture
Computing in government,Computer_and_network_surveillance
Voting / election technologies,Electronic_voting
E-government,E-governance
Personal computers and PC applications,Personal_computer
Word processors,List_of_word_processors
Spreadsheets,Spreadsheet
Computer games,PC_game
Microcomputers,Microcomputer
Operations research,Category:Operations_research
Consumer products,Fast-moving_consumer_goods
Industry and manufacturing,Manufacturing
Supply chain management,Supply_chain_management
Command and control,Command_and_control
Computer-aided manufacturing,Computer-aided_manufacturing
Decision analysis,Decision_analysis
Transportation,Transport
Forecasting,Forecasting
Marketing,Marketing
Education,Education
Digital libraries and archives,Digital_library
Computer-assisted instruction,Intelligent_computer-assisted_language_instruction
Interactive learning environments,Interactive_Learning
Collaborative learning,Computer-supported_collaborative_learning
Learning management systems,Learning_management_system
Distance learning,Distance_education
E-learning,E-learning_(theory)
Computer-managed instruction,History_of_virtual_learning_environments
Document management and text processing,Document_management_system
Document searching,Full-text_search
Document management,Document_management_system
Text editing,Text_editor
Version control,Version_control
Document metadata,Metadata
Document capture,Document_capture_software
Document analysis,Document_layout_analysis
Document scanning,Image_scanner
Graphics recognition and interpretation,Outline_of_object_recognition
Optical character recognition,Optical_character_recognition
Online handwriting recognition,Handwriting_recognition
Document preparation,Word_processor
Markup languages,Markup_language
Extensible Markup Language,XML
Hypertext languages,Hypertext
Annotation,Annotation
Format and notation,Notation
Multi / mixed media creation,Multimedia
Image composition,Composition_(visual_arts)
Hypertext / hypermedia creation,Hypertext
Document scripting languages,Scripting_language
Proper nouns: People technologies and companies,Proper_noun
Technologies,Technology
ActionScript,ActionScript
ActiveX,ActiveX
Ada language,Ada_(programming_language)
AngularJS,AngularJS
ANSI C,ANSI_C
Ajax,Ajax_(programming)
AppleScript,AppleScript
AutoCAD,AutoCAD
BASIC,BASIC
Bluetooth,Bluetooth
Business Process Execution Language,Business_Process_Execution_Language
C,C_(programming_language)
C#,C_Sharp_(programming_language)
C++,C%2B%2B
CDMA systems,Code_division_multiple_access
Cell Broadband Engine,Cell_(microprocessor)
CMOS,CMOS
CORBA,Common_Object_Request_Broker_Architecture
CSS,Cascading_Style_Sheets
Datalog,Datalog
DB2,IBM_DB2
Delphi,Delphi_(programming_language)
DNS,Domain_Name_System
DOS,DOS
Dreamweaver,Adobe_Dreamweaver
DSL,Digital_subscriber_line
DSM,Delta-sigma_modulation
DVDs,DVD
Eclipse,Eclipse_(software)
Ethernet,Ethernet
Excel,Microsoft_Excel
CD-ROMs,CD-ROM
Facebook,Facebook
Internet Explorer,Internet_Explorer
Chrome,Google_Chrome
Firefox,Firefox
Flickr,Flickr
Fortran,Fortran
FreeBSD,FreeBSD
Gmail,Gmail
Go,Go_(programming_language)
Google Earth,Google_Earth
Google,Google
Google Maps,Google_Maps
Google Scholar,Google_Scholar
GSM,GSM
Haskell,Haskell_(programming_language)
HDTV,High-definition_television
HP-UX,HP-UX
InfiniBand,InfiniBand
IP Multimedia Subsystem,IP_Multimedia_Subsystem
iPad,IPad
iPhone,IPhone
iPod,IPod
IPTV,IPTV
IPv6,IPv6
Java,Java_(programming_language)
JAVA ME,Java_(programming_language)
JavaScript,JavaScript
JPEG,JPEG
JQuery,JQuery
JSP,Jackson_structured_programming
LAPACK,LAPACK
Lotus Notes,IBM_Notes
lua,Lua_(programming_language)
Macintosh OS,Macintosh_operating_systems
Macintosh,Macintosh
Mathematica,Wolfram_Mathematica
MATLAB,MATLAB
MIMO Systems,MIMO
Microsoft Office,Microsoft_Office
Microsoft Access,Microsoft_Access
Microsoft Excel,Microsoft_Excel
Microsoft OneNote,Microsoft_OneNote
Microsoft Outlook,Microsoft_Outlook
Microsoft PowerPoint,Microsoft_PowerPoint
Microsoft Project,Microsoft_Project
Microsoft Publisher,Microsoft_Publisher
Microsoft Visio,Microsoft_Visio
Microsoft Word,Microsoft_Word
Mobile IP,Mobile_IP
WiMAX,WiMAX
MODIS,Moderate-resolution_imaging_spectroradiometer
MP3,MP3
MS-DOS,MS-DOS
MSN,MSN
Myspace,Myspace
MySQL,MySQL
NetWare,NetWare
Objective-C,Objective-C
OFDM System,Orthogonal_frequency-division_multiplexing
Office,Office
OpenMP,OpenMP
Oracle Database,Oracle_Database
Outlook,Microsoft_Outlook
PDF,Portable_Document_Format
Pentium,Pentium
Perl,Perl
Photoshop,Adobe_Photoshop
PHP,PHP
PlanetLab,PlanetLab
Pocket PC,Pocket_PC
PowerPC,PowerPC
Prolog,Prolog
Python,Python_(programming_language)
QuarkXPress,QuarkXPress
QuickBooks,QuickBooks
Quicken,Quicken
QuickTime,QuickTime
R,R_(programming_language)
Ruby,Ruby_(programming_language)
Ruby on Rails,Ruby_on_Rails
Rust,Rust_(programming_language)
RISC processors,Reduced_instruction_set_computing
Samba,Samba_(software)
Scala,Scala_(programming_language)
SELinux,Security-Enhanced_Linux
SharePoint,SharePoint
SIMD architectures,SIMD
Simulink,Simulink
Smalltalk,Smalltalk
Short Message Service,Short_Message_Service
SNMP,Simple_Network_Management_Protocol
Solaris,Solaris_(operating_system)
SONET,Synchronous_optical_networking
SPARC,SPARC
SQL Server,Microsoft_SQL_Server
SQL,SQL
Secure Sockets Layer,Transport_Layer_Security
Skype,Skype
Swift,Swift_(programming_language)
TMS320C,Texas_Instruments_TMS320
Transport Layer Security,Transport_Layer_Security
TREC,Text_Retrieval_Conference
Twitter,Twitter
UMTS,UMTS_(telecommunication)
Unicode,Unicode
Usenet,Usenet
UWB,UWB
VBA,Visual_Basic_for_Applications
VHDL,VHDL
Visual,Visual_system
Visual Basic,Visual_Basic
VMware,VMware
VoiceXML,VoiceXML
VRML,VRML
Wifi,Wi-Fi
Wikipedia,Wikipedia
Windows environment,Environment_variable
WordNet,WordNet
X-Window,X_Window_System
X3D,X3D
XILINX,Xilinx
Yahoo!,Yahoo!
YouTube,YouTube
ZigBee,ZigBee
Operating Systems,Operating_system
Apple Operating System,Macintosh_operating_systems
IBM Operating System,OS/2
Linux,Linux
Windows Operating System,Microsoft_Windows
UNIX operating system,Unix
